NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN
BE100;21001;Anderlecht;Anderlecht
BE100;21002;Auderghem;Oudergem
BE100;21003;Berchem-Sainte-Agathe;Sint-Agatha-Berchem
BE100;21004;Bruxelles;Brussel
BE100;21005;Etterbeek;Etterbeek
BE100;21006;Evere;Evere
BE100;21007;Forest;Vorst
BE100;21008;Ganshoren;Ganshoren
BE100;21009;Ixelles;Elsene
BE100;21010;Jette;Jette
BE100;21011;Koekelberg;Koekelberg
BE100;21012;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek
BE100;21013;Saint-Gilles;Sint-Gillis
BE100;21014;Saint-Josse-ten-Noode;Sint-Joost-ten-Node
BE100;21015;Schaerbeek;Schaarbeek
BE100;21016;Uccle;Ukkel
BE100;21017;Watermael-Boitsfort;Watermaal-Bosvoorde
BE100;21018;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe
BE100;21019;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe
BE211;11002;Antwerpen;Anvers
BE234;44021;Gent;Gand
BE322;52011;Charleroi;Charleroi
BE332;62003;Ans;Ans
BE332;62015;Beyne-Heusay;Beyne-Heusay
BE332;62038;Fléron;Fléron
BE332;62051;Herstal;Herstal
BE332;62063;Liège;Luik
BE332;62093;Saint-Nicolas;Saint-Nicolas
BE332;62096;Seraing;Seraing
BE251;31005;Brugge;Bruges
BE352;92094;Namur;Namen
BE242;24062;Leuven;Louvain
BE323;53053;Mons;Bergen
BE254;34022;Kortrijk;Courtrai
BE255;35013;Oostende;Ostende
BE211;11007;Borsbeek;Borsbeek
BE211;11013;Edegem;Edegem
BE211;11021;Hove;Hove
BE211;11023;Kapellen;Kapellen
BE211;11024;Kontich;Kontich
BE211;11025;Lint;Lint
BE211;11029;Mortsel;Mortsel
BE212;12025;Mechelen;Malines
BE241;23016;Dilbeek;Dilbeek
BE241;23077;Sint-Pieters-Leeuw;Sint-Pieters-Leeuw
BE241;23098;Drogenbos;Drogenbos
BE241;23099;Kraainem;Kraainem
BE241;23102;Wemmel;Wemmel
BE241;23103;Wezembeek-Oppem;Wezembeek-Oppem
BE255;35002;Bredene;Bredene
BE322;52012;Châtelet;Châtelet
BE322;52043;Manage;Manage
BE323;53028;Frameries;Frameries
BE323;53065;Quaregnon;Quaregnon
BE323;53082;Colfontaine;Colfontaine
BE324;54007;Mouscron;Moeskroen
BE325;55022;La Louvière;La Louvière
BE332;62118;Grâce-Hollogne;Grâce-Hollogne
BE335;63020;Dison;Dison
BE335;63079;Verviers;Verviers
BE211;11001;Aartselaar;Aartselaar
BE211;11004;Boechout;Boechout
BE211;11005;Boom;Boom
BE211;11008;Brasschaat;Brasschaat
BE211;11009;Brecht;Brecht
BE211;11016;Essen;Essen
BE211;11018;Hemiksem;Hemiksem
BE211;11022;Kalmthout;Kalmthout
BE211;11030;Niel;Niel
BE211;11035;Ranst;Ranst
BE211;11037;Rumst;Rumst
BE211;11038;Schelle;Schelle
BE211;11039;Schilde;Schilde
BE211;11040;Schoten;Schoten
BE211;11044;Stabroek;Stabroek
BE211;11050;Wijnegem;Wijnegem
BE211;11052;Wommelgem;Wommelgem
BE211;11053;Wuustwezel;Wuustwezel
BE211;11054;Zandhoven;Zandhoven
BE211;11055;Zoersel;Zoersel
BE211;11056;Zwijndrecht;Zwijndrecht
BE211;11057;Malle;Malle
BE212;12002;Berlaar;Berlaar
BE212;12005;Bonheiden;Bonheiden
BE212;12007;Bornem;Bornem
BE212;12009;Duffel;Duffel
BE212;12014;Heist-op-den-Berg;Heist-op-den-Berg
BE212;12021;Lier;Lierre
BE212;12026;Nijlen;Nijlen
BE212;12029;Putte;Putte
BE212;12030;Puurs;Puurs
BE212;12034;Sint-Amands;Sint-Amands
BE212;12035;Sint-Katelijne-Waver;Sint-Katelijne-Waver
BE212;12040;Willebroek;Willebroek
BE213;13001;Arendonk;Arendonk
BE213;13002;Baarle-Hertog;Baerle-Duc
BE213;13003;Balen;Balen
BE213;13004;Beerse;Beerse
BE213;13006;Dessel;Dessel
BE213;13008;Geel;Geel
BE213;13010;Grobbendonk;Grobbendonk
BE213;13011;Herentals;Herentals
BE213;13012;Herenthout;Herenthout
BE213;13013;Herselt;Herselt
BE213;13016;Hulshout;Hulshout
BE213;13017;Kasterlee;Kasterlee
BE213;13019;Lille;Lille
BE213;13021;Meerhout;Meerhout
BE213;13023;Merksplas;Merksplas
BE213;13025;Mol;Mol
BE213;13029;Olen;Olen
BE213;13031;Oud-Turnhout;Oud-Turnhout
BE213;13036;Retie;Retie
BE213;13037;Rijkevorsel;Rijkevorsel
BE213;13040;Turnhout;Turnhout
BE213;13044;Vorselaar;Vorselaar
BE213;13046;Vosselaar;Vosselaar
BE213;13049;Westerlo;Westerlo
BE213;13053;Laakdal;Laakdal
BE241;23002;Asse;Asse
BE241;23003;Beersel;Beersel
BE241;23025;Grimbergen;Grimbergen
BE241;23027;Halle;Hal
BE241;23032;Herne;Herne
BE241;23033;Hoeilaart;Hoeilaart
BE241;23038;Kampenhout;Kampenhout
BE241;23039;Kapelle-op-den-Bos;Kapelle-op-den-Bos
BE241;23044;Liedekerke;Liedekerke
BE241;23045;Londerzeel;Londerzeel
BE241;23047;Machelen;Machelen
BE241;23050;Meise;Meise
BE241;23052;Merchtem;Merchtem
BE241;23060;Opwijk;Opwijk
BE241;23062;Overijse;Overijse
BE241;23081;Steenokkerzeel;Steenokkerzeel
BE241;23086;Ternat;Ternat
BE241;23088;Vilvoorde;Vilvorde
BE241;23094;Zaventem;Zaventem
BE241;23096;Zemst;Zemst
BE241;23097;Roosdaal;Roosdaal
BE241;23100;Linkebeek;Linkebeek
BE241;23101;Sint-Genesius-Rode;Rhode-Saint-Genèse
BE241;23104;Lennik;Lennik
BE241;23105;Affligem;Affligem
BE242;24001;Aarschot;Aarschot
BE242;24007;Begijnendijk;Begijnendijk
BE242;24009;Bertem;Bertem
BE242;24011;Bierbeek;Bierbeek
BE242;24014;Boortmeerbeek;Boortmeerbeek
BE242;24016;Boutersem;Boutersem
BE242;24020;Diest;Diest
BE242;24033;Haacht;Haacht
BE242;24038;Herent;Herent
BE242;24043;Holsbeek;Holsbeek
BE242;24048;Keerbergen;Keerbergen
BE242;24055;Kortenberg;Kortenberg
BE242;24059;Landen;Landen
BE242;24086;Oud-Heverlee;Oud-Heverlee
BE242;24094;Rotselaar;Rotselaar
BE242;24104;Tervuren;Tervuren
BE242;24107;Tienen;Tirlemont
BE242;24109;Tremelo;Tremelo
BE242;24134;Scherpenheuvel-Zichem;Montaigu-Zichem
BE310;25014;Braine-l'Alleud;Eigenbrakel
BE310;25015;Braine-le-Château;Kasteelbrakel
BE310;25018;Chaumont-Gistoux;Chaumont-Gistoux
BE310;25023;Court-Saint-Etienne;Court-Saint-Etienne
BE310;25031;Genappe;Genepiën
BE310;25037;Grez-Doiceau;Graven
BE310;25050;La Hulpe;Terhulpen
BE310;25068;Mont-Saint-Guibert;Mont-Saint-Guibert
BE310;25072;Nivelles;Nijvel
BE310;25084;Perwez;Perwijs
BE310;25091;Rixensart;Rixensart
BE310;25105;Tubize;Tubeke
BE310;25107;Villers-la-Ville;Villers-la-Ville
BE310;25110;Waterloo;Waterloo
BE310;25112;Wavre;Waver
BE310;25119;Lasne;Lasne
BE310;25121;Ottignies-Louvain-la-Neuve;Ottignies-Louvain-la-Neuve
BE310;25123;Rebecq;Rebecq
BE251;31004;Blankenberge;Blankenberge
BE251;31012;Jabbeke;Jabbeke
BE251;31022;Oostkamp;Oostkamp
BE251;31033;Torhout;Torhout
BE251;31043;Knokke-Heist;Knokke-Heist
BE252;32006;Houthulst;Houthulst
BE253;33011;Ieper;Ypres
BE253;33021;Poperinge;Poperinge
BE253;33029;Wervik;Wervik
BE254;34003;Avelgem;Avelgem
BE254;34009;Deerlijk;Deerlijk
BE254;34013;Harelbeke;Harelbeke
BE254;34023;Kuurne;Kuurne
BE254;34025;Lendelede;Lendelede
BE254;34027;Menen;Menin
BE254;34040;Waregem;Waregem
BE254;34041;Wevelgem;Wevelgem
BE254;34042;Zwevegem;Zwevegem
BE255;35005;Gistel;Gistel
BE255;35006;Ichtegem;Ichtegem
BE255;35011;Middelkerke;Middelkerke
BE255;35014;Oudenburg;Oudenburg
BE255;35029;De Haan;De Haan
BE256;36006;Hooglede;Hooglede
BE256;36007;Ingelmunster;Ingelmunster
BE256;36008;Izegem;Izegem
BE256;36011;Lichtervelde;Lichtervelde
BE256;36015;Roeselare;Roulers
BE257;37002;Dentergem;Dentergem
BE257;37007;Meulebeke;Meulebeke
BE257;37010;Oostrozebeke;Oostrozebeke
BE257;37015;Tielt;Tielt
BE257;37017;Wielsbeke;Wielsbeke
BE257;37020;Ardooie;Ardooie
BE258;38008;De Panne;La Panne
BE258;38014;Koksijde;Koksijde
BE258;38016;Nieuwpoort;Nieuport
BE258;38025;Veurne;Furnes
BE231;41002;Aalst;Alost
BE231;41011;Denderleeuw;Denderleeuw
BE231;41018;Geraardsbergen;Grammont
BE231;41024;Haaltert;Haaltert
BE231;41027;Herzele;Herzele
BE231;41034;Lede;Lede
BE231;41048;Ninove;Ninove
BE231;41063;Sint-Lievens-Houtem;Sint-Lievens-Houtem
BE231;41081;Zottegem;Zottegem
BE231;41082;Erpe-Mere;Erpe-Mere
BE232;42003;Berlare;Berlare
BE232;42004;Buggenhout;Buggenhout
BE232;42006;Dendermonde;Termonde
BE232;42008;Hamme;Hamme
BE232;42010;Laarne;Laarne
BE232;42011;Lebbeke;Lebbeke
BE232;42023;Waasmunster;Waasmunster
BE232;42025;Wetteren;Wetteren
BE232;42026;Wichelen;Wichelen
BE232;42028;Zele;Zele
BE233;43005;Eeklo;Eeklo
BE233;43010;Maldegem;Maldegem
BE233;43018;Zelzate;Zelzate
BE234;44001;Aalter;Aalter
BE234;44011;Deinze;Deinze
BE234;44012;De Pinte;De Pinte
BE234;44013;Destelbergen;Destelbergen
BE234;44019;Evergem;Evergem
BE234;44020;Gavere;Gavere
BE234;44034;Lochristi;Lochristi
BE234;44036;Lovendegem;Lovendegem
BE234;44040;Melle;Melle
BE234;44043;Merelbeke;Merelbeke
BE234;44048;Nazareth;Nazareth
BE234;44052;Oosterzele;Oosterzele
BE234;44064;Sint-Martens-Latem;Sint-Martens-Latem
BE234;44072;Waarschoot;Waarschoot
BE234;44080;Zomergem;Zomergem
BE234;44081;Zulte;Zulte
BE235;45035;Oudenaarde;Audenarde
BE235;45041;Ronse;Renaix
BE235;45057;Zingem;Zingem
BE235;45060;Kluisbergen;Kluisbergen
BE236;46003;Beveren;Beveren
BE236;46013;Kruibeke;Kruibeke
BE236;46014;Lokeren;Lokeren
BE236;46020;Sint-Gillis-Waas;Sint-Gillis-Waas
BE236;46021;Sint-Niklaas;Saint-Nicolas
BE236;46024;Stekene;Stekene
BE236;46025;Temse;Tamise
BE321;51004;Ath;Aat
BE321;51009;Bernissart;Bernissart
BE322;52010;Chapelle-lez-Herlaimont;Chapelle-lez-Herlaimont
BE322;52015;Courcelles;Courcelles
BE322;52018;Farciennes;Farciennes
BE322;52021;Fleurus;Fleurus
BE322;52022;Fontaine-l'Evêque;Fontaine-l'Evêque
BE322;52025;Gerpinnes;Gerpinnes
BE322;52048;Montigny-le-Tilleul;Montigny-le-Tilleul
BE322;52055;Pont-à-Celles;Pont-à-Celles
BE322;52074;Aiseau-Presles;Aiseau-Presles
BE323;53014;Boussu;Boussu
BE323;53020;Dour;Dour
BE323;53068;Quiévrain;Quiévrain
BE323;53070;Saint-Ghislain;Saint-Ghislain
BE324;54010;Comines-Warneton;Komen-Waasten
BE325;55004;Braine-le-Comte;'s Gravenbrakel
BE325;55010;Enghien;Edingen
BE325;55023;Lessines;Lessen
BE325;55040;Soignies;Zinnik
BE325;55050;Ecaussinnes;Ecaussinnes
BE326;56001;Anderlues;Anderlues
BE326;56011;Binche;Binche
BE326;56022;Erquelinnes;Erquelinnes
BE326;56044;Lobbes;Lobbes
BE326;56078;Thuin;Thuin
BE326;56086;Ham-sur-Heure-Nalinnes;Ham-sur-Heure-Nalinnes
BE326;56087;Morlanwelz;Morlanwelz
BE327;57003;Antoing;Antoing
BE327;57027;Estaimpuis;Estaimpuis
BE327;57062;Pecq;Pecq
BE327;57064;Péruwelz;Péruwelz
BE327;57081;Tournai;Doornik
BE331;61003;Amay;Amay
BE331;61031;Huy;Hoei
BE331;61039;Marchin;Marchin
BE331;61068;Villers-Le-Bouillet;Villers-Le-Bouillet
BE331;61072;Wanze;Wanze
BE331;61080;Engis;Engis
BE332;62006;Awans;Awans
BE332;62011;Bassenge;Bitsingen
BE332;62022;Chaudfontaine;Chaudfontaine
BE332;62032;Esneux;Esneux
BE332;62060;Juprelle;Juprelle
BE332;62079;Oupeye;Oupeye
BE332;62099;Soumagne;Soumagne
BE332;62108;Visé;Wezet
BE332;62119;Blégny;Blégny
BE332;62120;Flémalle;Flémalle
BE332;62121;Neupré;Neupré
BE332;62122;Trooz;Trooz
BE336;63023;Eupen;Eupen
BE335;63035;Herve;Herve
BE336;63040;Kelmis;La Calamine
BE335;63057;Olne;Olne
BE335;63058;Pepinster;Pepinster
BE335;63072;Spa;Spa
BE335;63076;Theux;Theux
BE335;63084;Welkenraedt;Welkenraedt
BE335;63088;Plombières;Plombières
BE334;64008;Berloz;Berloz
BE334;64025;Fexhe-le-Haut-Clocher;Fexhe-le-Haut-Clocher
BE334;64074;Waremme;Borgworm
BE221;71002;As;As
BE221;71004;Beringen;Beringen
BE221;71011;Diepenbeek;Diepenbeek
BE221;71016;Genk;Genk
BE221;71020;Halen;Halen
BE221;71022;Hasselt;Hasselt
BE221;71024;Herk-de-Stad;Herck-la-Ville
BE221;71034;Leopoldsburg;Bourg-Léopold
BE221;71037;Lummen;Lummen
BE221;71047;Opglabbeek;Opglabbeek
BE221;71053;Sint-Truiden;Saint-Trond
BE221;71057;Tessenderlo;Tessenderlo
BE221;71066;Zonhoven;Zonhoven
BE221;71067;Zutendaal;Zutendaal
BE221;71069;Ham;Ham
BE221;71070;Heusden-Zolder;Heusden-Zolder
BE222;72004;Bree;Bree
BE222;72020;Lommel;Lommel
BE222;72021;Maaseik;Maaseik
BE222;72025;Neerpelt;Neerpelt
BE222;72029;Overpelt;Overpelt
BE222;72037;Hamont-Achel;Hamont-Achel
BE222;72039;Houthalen-Helchteren;Houthalen-Helchteren
BE222;72041;Dilsen-Stokkem;Dilsen-Stokkem
BE223;73001;Alken;Alken
BE223;73006;Bilzen;Bilzen
BE223;73032;Hoeselt;Hoeselt
BE223;73040;Kortessem;Kortessem
BE223;73042;Lanaken;Lanaken
BE223;73066;Riemst;Riemst
BE223;73083;Tongeren;Tongres
BE223;73098;Wellen;Wellen
BE223;73107;Maasmechelen;Maasmechelen
BE341;81001;Arlon;Aarlen
BE341;81004;Aubange;Aubange
BE342;82003;Bastogne;Bastenaken
BE343;83034;Marche-en-Famenne;Marche-en-Famenne
BE345;85045;Virton;Virton
BE351;91034;Dinant;Dinant
BE352;92003;Andenne;Andenne
BE352;92137;Sambreville;Sambreville
BE352;92140;Jemeppe-sur-Sambre;Jemeppe-sur-Sambre
BE352;92142;Gembloux;Gembloux
BE353;93088;Walcourt;Walcourt
BE213;13014;Hoogstraten;Hoogstraten
BE213;13035;Ravels;Ravels
BE241;23009;Bever;Biévène
BE241;23023;Galmaarden;Gammerages
BE241;23024;Gooik;Gooik
BE241;23064;Pepingen;Pepingen
BE242;24008;Bekkevoort;Bekkevoort
BE242;24028;Geetbets;Geetbets
BE242;24041;Hoegaarden;Hoegaarden
BE242;24045;Huldenberg;Huldenberg
BE242;24054;Kortenaken;Kortenaken
BE242;24066;Lubbeek;Lubbeek
BE242;24130;Zoutleeuw;Léau
BE242;24133;Linter;Linter
BE242;24135;Tielt-Winge;Tielt-Winge
BE242;24137;Glabbeek;Glabbeek
BE310;25005;Beauvechain;Bevekom
BE310;25043;Incourt;Incourt
BE310;25044;Ittre;Itter
BE310;25048;Jodoigne;Geldenaken
BE310;25117;Chastre;Chastre
BE310;25118;Hélécine;Hélécine
BE310;25120;Orp-Jauche;Orp-Jauche
BE310;25122;Ramillies;Ramillies
BE310;25124;Walhain;Walhain
BE251;31003;Beernem;Beernem
BE251;31006;Damme;Damme
BE251;31040;Zedelgem;Zedelgem
BE251;31042;Zuienkerke;Zuienkerke
BE252;32003;Diksmuide;Dixmude
BE252;32010;Koekelare;Koekelare
BE252;32011;Kortemark;Kortemark
BE252;32030;Lo-Reninge;Lo-Reninge
BE253;33016;Mesen;Messines
BE253;33037;Zonnebeke;Zonnebeke
BE253;33039;Heuvelland;Heuvelland
BE253;33040;Langemark-Poelkapelle;Langemark-Poelkapelle
BE253;33041;Vleteren;Vleteren
BE254;34002;Anzegem;Anzegem
BE254;34043;Spiere-Helkijn;Espierres-Helchin
BE256;36010;Ledegem;Ledegem
BE256;36012;Moorslede;Moorslede
BE256;36019;Staden;Staden
BE257;37011;Pittem;Pittem
BE257;37012;Ruiselede;Ruiselede
BE257;37018;Wingene;Wingene
BE258;38002;Alveringem;Alveringem
BE233;43002;Assenede;Assenede
BE233;43007;Kaprijke;Kaprijke
BE233;43014;Sint-Laureins;Sint-Laureins
BE234;44029;Knesselare;Knesselare
BE234;44045;Moerbeke;Moerbeke
BE234;44049;Nevele;Nevele
BE234;44073;Wachtebeke;Wachtebeke
BE235;45017;Kruishoutem;Kruishoutem
BE235;45059;Brakel;Brakel
BE235;45061;Wortegem-Petegem;Wortegem-Petegem
BE235;45062;Horebeke;Horebeke
BE235;45063;Lierde;Lierde
BE235;45064;Maarkedal;Maarkedal
BE235;45065;Zwalm;Zwalm
BE321;51008;Beloeil;Beloeil
BE321;51012;Brugelette;Brugelette
BE321;51014;Chièvres;Chièvres
BE321;51017;Ellezelles;Elzele
BE321;51019;Flobecq;Vloesberg
BE321;51065;Frasnes-lez-Anvaing;Frasnes-lez-Anvaing
BE322;52063;Seneffe;Seneffe
BE322;52075;Les Bons Villers;Les Bons Villers
BE323;53039;Hensies;Hensies
BE323;53044;Jurbise;Jurbeke
BE323;53046;Lens;Lens
BE323;53083;Honnelles;Honnelles
BE323;53084;Quévy;Quévy
BE325;55035;Le Roeulx;Le Roeulx
BE325;55039;Silly;Opzullik
BE326;56005;Beaumont;Beaumont
BE326;56016;Chimay;Chimay
BE326;56029;Froidchapelle;Froidchapelle
BE326;56049;Merbes-le-Château;Merbes-le-Château
BE326;56051;Momignies;Momignies
BE326;56085;Estinnes;Estinnes
BE326;56088;Sivry-Rance;Sivry-Rance
BE327;57018;Celles;Celles
BE327;57072;Rumes;Rumes
BE327;57093;Brunehaut;Brunehaut
BE327;57094;Leuze-en-Hainaut;Leuze-en-Hainaut
BE327;57095;Mont-de-l'Enclus;Mont-de-l'Enclus
BE331;61010;Burdinne;Burdinne
BE331;61012;Clavier;Clavier
BE331;61019;Ferrières;Ferrières
BE331;61024;Hamoir;Hamoir
BE331;61028;Héron;Héron
BE331;61041;Modave;Modave
BE331;61043;Nandrin;Nandrin
BE331;61048;Ouffet;Ouffet
BE331;61063;Verlaine;Verlaine
BE331;61079;Anthisnes;Anthisnes
BE331;61081;Tinlot;Tinlot
BE332;62009;Aywaille;Aywaille
BE332;62026;Comblain-au-Pont;Comblain-au-Pont
BE332;62027;Dalhem;Dalhem
BE332;62100;Sprimont;Sprimont
BE336;63001;Amel;Amblève
BE335;63003;Aubel;Aubel
BE335;63004;Baelen;Baelen
BE336;63012;Büllingen;Bullange
BE336;63013;Bütgenbach;Butgenbach
BE335;63038;Jalhay;Jalhay
BE335;63045;Lierneux;Lierneux
BE335;63046;Limbourg;Limburg
